,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,cost_2021_PCI_Family_house,0
5035,3348,16140_29.2871955_-94.7988556_0_242.01.jpg,Gggsb0mYzpDCMRB0k-zFXg,1.971583759,0.917393858,29.2871955,-94.7988556,29.28713141,-94.79896811,"[2019, 10]",10,Y,251.5930023,2708.124538,1.971583759,8.468450653,10,Y,3.031549347,1.531549347,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48133.29022,66720.66074,82667.73889,76249.24267,76511.0398,82968.15368,6457.113882
5036,3359,16168_29.2871955_-94.7988556_0_242.01.jpg,Gggsb0mYzpDCMRB0k-zFXg,1.971583759,0.917393858,29.28719547,-94.79885565,29.28713138,-94.79896816,"[2019, 10]",10,Y,251.5930023,2708.124538,1.971583759,8.468450653,10,Y,3.031549347,1.531549347,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48133.29022,66720.66074,82667.73889,76249.24267,76511.0398,82968.15368,6457.113882
5023,12671,8788_29.2871091_-94.7988408_0_289.87.jpg,75itciQZk9KdpqBYZhMHyg,1.96953346,0.92584029,29.2871091,-94.7988408,29.28716828,-94.79895187,"[2019, 10]",10,Y,251.5930023,2708.124538,1.96953346,8.46172395,10,Y,3.03827605,1.53827605,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48146.95279,66739.5993,82691.204,76270.8859,76532.75734,82989.87122,6457.113882
6578,1568,13014_29.2958684_-94.7860103_0_311.53.jpg,6C15kRUJmhGvcrg1-0TfjA,2.355408304,0.830231082,29.29586842,-94.78601025,29.29598509,-94.78620731,"[2019, 10]",11,Y,251.4960022,2707.080438,2.355408304,9.727717533,11,Y,2.772282467,1.272282467,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,47588.34051,65965.27077,81731.8012,75385.97314,75644.80629,82099.43067,6454.624382
6486,11831,6964_29.2958409_-94.7861112_0_327.71.jpg,cO4g-KxnYrVn7LwBUQ4OLQ,2.315179884,0.831203116,29.2958409,-94.7861112,29.29598167,-94.78620307,"[2019, 10]",11,Y,251.4960022,2707.080438,2.315179884,9.595734528,11,Y,2.904265472,1.404265472,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,47856.30697,66336.71637,82192.02698,75810.46603,76070.75665,82525.38103,6454.624382
3110,661,1151_29.284282_-94.8306621_0_259.11.jpg,ftJdTTe1gyZ7fvCX_M8-mA,1.608306852,0.529056915,29.284282,-94.8306621,29.28419819,-94.83096463,"[2016, 6]",11,Y,251.4609985,2706.703661,1.608306852,7.276597283,11,Y,5.223402717,3.723402717,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52557.55919,72853.42555,90266.31173,83257.84641,83543.70716,89997.43317,6453.726015
3099,3712,1677_29.2799805_-94.8314134_0_150.07.jpg,JZDOFOfFdsf63UqpLP9Cjg,1.606603099,0.389576003,29.2799805,-94.8314134,29.27981051,-94.83133059,"[2016, 6]",11,Y,251.3670044,2705.691917,1.606603099,7.271007543,11,Y,5.228992457,3.728992457,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52549.25668,72841.91691,90252.05238,83244.69419,83530.50978,89981.82344,6451.313664
1715,11103,5979_29.3002937_-94.7989183_0_133.64.jpg,AJxPLthDq2OzovK9DRFc_Q,1.279858745,0.506457568,29.3002937,-94.7989183,29.30014713,-94.79864676,"[2019, 1]",12,Y,206.4799957,2222.532177,1.279858745,6.199011631,12,Y,7.300988369,5.800988369,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46619.25992,64621.96559,80067.42917,73850.82644,74104.38875,80552.73393,6448.345177
4074,5356,2002_29.2770001_-94.8454906_0_140.10.jpg,5E7YMwvW-sS_Kv_vSosXtg,1.800605298,0.656475772,29.27700006,-94.84549057,29.27689405,-94.8453921,"[2020, 3]",11,Y,251.1849976,2703.732812,1.800605298,7.907497697,11,Y,4.592502303,3.092502303,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51220.53296,71000.08719,87970.00216,81139.82712,81418.41578,87865.05825,6446.642475
3966,12041,723_29.2883353_-94.8324853_0_243.84.jpg,ngmQrBCuqnXgnp11ebJI-A,1.780904454,0.522874843,29.2883353,-94.8324853,29.28827852,-94.83267009,"[2016, 6]",12,Y,251.0420074,2702.193678,1.780904454,7.842862382,12,Y,5.657137618,4.157137618,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,53349.01315,73950.51098,91625.61438,84511.60996,84801.77543,91244.74807,6442.972643
393,5167,19701_29.2773056_-94.8375152_0_64.23.jpg,s-gVkgu74-ekllVvjYrHAg,0.759726475,0.25147671,29.2773056,-94.8375152,29.27736138,-94.83738686,"[2020, 3]",11,Y,188.1790009,2025.541908,0.759726475,4.492540928,11,Y,8.007459072,6.507459072,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,43564.25968,60387.23256,74820.54162,69011.31821,69248.26437,75687.72932,6439.464945
163,10416,5015_29.3067288_-94.7888748_0_193.95.jpg,1dM_a86mOzR6RtIQxvP0tw,0.501348309,0.455894193,29.3067288,-94.7888748,29.30659081,-94.78893496,"[2019, 10]",12,Y,188.1690063,2025.434327,0.501348309,3.644843533,12,Y,9.855156467,8.355156467,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,47304.33562,65571.59325,81244.0298,74936.07333,75193.36178,81632.48471,6439.122931
290,10413,5011_29.3067531_-94.7887767_0_193.63.jpg,kZw9NOBS0Ut7uqEgvnu5_w,0.685418192,0.464647547,29.30675305,-94.78877666,29.30662264,-94.78884993,"[2019, 10]",12,Y,188.1690063,2025.434327,0.685418192,4.248747349,12,Y,9.251252651,7.751252651,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46081.1681,63876.08179,79143.26975,72998.42069,73249.05632,79688.17925,6439.122931
291,10415,5014_29.3067531_-94.7887767_0_193.63.jpg,kZw9NOBS0Ut7uqEgvnu5_w,0.685418192,0.464647547,29.30675305,-94.78877666,29.30662264,-94.78884993,"[2019, 10]",12,Y,188.1690063,2025.434327,0.685418192,4.248747349,12,Y,9.251252651,7.751252651,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46081.1681,63876.08179,79143.26975,72998.42069,73249.05632,79688.17925,6439.122931
5574,228,10465_29.3163879_-94.7702471_0_193.03.jpg,de5UD5JJxrAEUYb7HvLWJQ,2.06846978,0.734751954,29.3163879,-94.7702471,29.31623371,-94.77028223,"[2016, 5]",11,Y,250.8910065,2700.568318,2.06846978,8.786318176,11,Y,3.713681824,2.213681824,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49380.59754,68449.63393,84809.95845,78225.13582,78493.71706,84932.81427,6439.097217
1336,11337,6290_29.298783_-94.7865363_0_238.62.jpg,Pnb7IbAWFT8eGrb9ZZ79-Q,1.182510403,0.767038355,29.298783,-94.78653627,29.29868516,-94.78671871,"[2021, 3]",11,Y,227.197998,2445.538897,1.182510403,5.879627306,11,Y,6.620372694,5.120372694,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,50048.63711,69375.6467,85957.29993,79283.39531,79555.61002,85989.52884,6433.918819
8322,6986,23870_29.2154921_-94.9165958_0_117.69.jpg,QPuaaslvnBEdVtTMrUvS3Q,3.80654189,0.748939315,29.21549209,-94.91659583,29.21544892,-94.91643999,"[2020, 2]",17,Y,250.548996,2696.886948,3.80654189,14.48865449,17,Y,4.011345505,2.511345505,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49915.3567,69190.89811,85728.3941,79072.26221,79343.752,85774.07155,6430.319545
8424,6988,23871_29.2155898_-94.916422_0_177.46.jpg,6e-8UgdpzRA5cYE0tBxjGw,3.940559494,0.75733248,29.21558984,-94.91642203,29.21543591,-94.91645246,"[2020, 2]",17,Y,250.548996,2696.886948,3.940559494,14.9283448,17,Y,3.571655203,2.071655203,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49026.01042,67958.11783,84200.96381,77663.4248,77930.07743,84360.39698,6430.319545
88,10646,5351_29.3044523_-94.7866149_0_357.96.jpg,42_5U8x-ufMxKKJnRiFwXw,0.340630179,0.529087727,29.3044523,-94.7866149,29.3047527,-94.7865525,"[2019, 10]",12,Y,187.845993,2021.957441,0.340630179,3.117553081,12,Y,10.38244692,8.882446919,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48289.29125,66936.90384,82935.66681,76496.3681,76759.01372,83187.08317,6428.069451
1779,4186,17884_29.2827328_-94.8135459_0_251.51.jpg,7fSsjggwyEvdmB7DuAOZJQ,1.292907043,0.874371993,29.28273282,-94.81354591,29.28269195,-94.81368137,"[2021, 4]",10,Y,250.2949982,2694.152938,1.292907043,6.241821007,10,Y,5.258178993,3.758178993,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52384.12433,72613.0163,89968.44164,82983.10358,83268.02101,89691.82172,6423.800713
2479,3228,15945_29.2875842_-94.7994733_0_13.07.jpg,2bhkPvRMIO6rglunE9LTBg,1.462075273,0.902426821,29.2875842,-94.7994733,29.28775133,-94.79941188,"[2021, 4]",10,Y,250.1069946,2692.129284,1.462075273,6.796834885,10,Y,4.703165115,3.203165115,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51224.15031,71005.10143,87976.21486,81145.55746,81424.16579,87843.1414,6418.975615
5976,3214,1591_29.2803939_-94.8197819_0_358.57.jpg,hEr9KY0R32DnsQsKmkNDfw,2.155417859,0.889138969,29.28039394,-94.81978185,29.28055629,-94.81981483,"[2021, 4]",10,Y,250.0630035,2691.655768,2.155417859,9.071580902,10,Y,2.428419098,0.928419098,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46623.01561,64627.17161,80073.87949,73856.77594,74110.35868,80528.20527,6417.846587
1046,12304,8071_29.2909436_-94.811983_0_178.91.jpg,piubqZRsmGHKyd3tbVvLCw,1.101981595,0.736508969,29.2909436,-94.811983,29.29078427,-94.81193877,"[2020, 2]",11,Y,217.8639984,2345.068562,1.101981595,5.61542518,11,Y,6.88457482,5.38457482,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48457.16269,67169.60127,83223.98185,76762.29777,77025.85644,83441.66257,6415.806126
786,7558,24785_29.2004894_-94.9465096_0_175.54.jpg,iGr8bAusgiss2npc4jhTFA,1.005801651,0.700627147,29.2004894,-94.9465096,29.2003002,-94.94652643,"[2021, 3]",15,Y,187.3589935,2016.715422,1.005801651,5.299874183,15,Y,11.20012582,9.700125817,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49813.12466,69049.18768,85552.8131,78910.31368,79181.24743,85592.65181,6411.404381
1735,3501,16406_29.2864074_-94.8247598_0_283.52.jpg,JNL9zuagrEqywkM_xJWVfw,1.283509312,0.716931021,29.2864074,-94.8247598,29.28647189,-94.82499872,"[2021, 4]",11,Y,238.0769958,2562.639455,1.283509312,6.210988556,11,Y,6.289011444,4.789011444,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51808.2632,71814.77801,88979.41434,82070.86643,82352.65175,88757.19933,6404.547583
241,502,11101_29.3054692_-94.7776595_0_102.96.jpg,UVSC_f24FHycz2re6TplJg,0.619390282,0.633649986,29.3054692,-94.7776595,29.30541973,-94.77734904,"[2021, 4]",11,Y,187.1130066,2014.067641,0.619390282,4.032120348,11,Y,8.467879652,6.967879652,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,44244.79555,61330.56725,75989.34518,70089.37342,70330.02101,76733.00775,6402.986736
6747,9357,29318_29.3188627_-94.7496777_0_156.27.jpg,7wF_CqBKvtgJPQTR_lGtvA,2.426707316,0.514312284,29.3188627,-94.7496777,29.3187692,-94.74962509,"[2021, 3]",17,Y,187.0359955,2013.2387,2.426707316,9.961638176,17,Y,8.538361824,7.038361824,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,44368.48291,61502.0183,76201.77518,70285.30991,70526.63024,76926.98167,6400.351424
1969,6362,22412_29.2599046_-94.8742949_0_65.09.jpg,V5elpNJGJSQxjuNxUKx0Pg,1.34379093,0.448622726,29.2599046,-94.8742949,29.26001226,-94.87404349,"[2020, 2]",14,Y,186.9290009,2012.08702,1.34379093,6.408762894,14,Y,9.091237106,7.591237106,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,45455.53495,63008.85129,78068.76024,72007.33834,72254.57115,78651.26124,6396.690081
692,140,10270_29.3199285_-94.770824_0_330.42.jpg,BNCkesGzCtrYUBULVqr6NA,0.959654112,0.782495261,29.3199285,-94.770824,29.32004371,-94.77089574,"[2021, 4]",11,Y,203.4069977,2189.454701,0.959654112,5.148471496,11,Y,7.351528504,5.851528504,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46008.42686,63775.25046,79018.33846,72883.18932,73133.42931,79529.77862,6396.349312
1317,5327,19983_29.2769467_-94.8398699_0_230.09.jpg,lVx1FAhxsriur2KVt65Huw,1.17860785,0.590107113,29.27694673,-94.83986986,29.27684986,-94.84001986,"[2019, 10]",11,Y,225.1629944,2423.634301,1.17860785,5.866823655,11,Y,6.633176345,5.133176345,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49623.62695,68786.51268,85227.35546,78610.12525,78880.02833,85268.65039,6388.622061
6184,6504,22657_29.255455_-94.8666135_0_42.74.jpg,xtpw0IciPfrbe4YXxI17Rg,2.214119676,0.860831904,29.255455,-94.8666135,29.25557028,-94.86652242,"[2020, 2]",10,Y,248.8659973,2678.771301,2.214119676,9.264172165,10,Y,2.235827835,0.735827835,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46012.90874,63781.46308,79026.03598,72890.28919,73140.55356,79527.67908,6387.125521
209,489,11073_29.3055179_-94.7875913_0_102.33.jpg,wtDIccwBBqhPgg0bnK0pYQ,0.571001517,0.515168918,29.30551792,-94.78759133,29.30549381,-94.78744253,"[2019, 10]",12,Y,186.6369934,2008.943877,0.571001517,3.873364557,12,Y,9.626635443,8.126635443,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46460.11268,64401.36133,79794.09772,73598.71701,73851.41372,80238.11134,6386.697616
210,10492,5135_29.3055179_-94.7875913_0_102.33.jpg,wtDIccwBBqhPgg0bnK0pYQ,0.571001517,0.515168918,29.3055179,-94.7875913,29.30549379,-94.7874425,"[2019, 10]",12,Y,186.6369934,2008.943877,0.571001517,3.873364557,12,Y,9.626635443,8.126635443,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46460.11268,64401.36133,79794.09772,73598.71701,73851.41372,80238.11134,6386.697616
211,10493,5136_29.3055179_-94.7875913_0_102.33.jpg,wtDIccwBBqhPgg0bnK0pYQ,0.571001517,0.515168918,29.30551792,-94.78759133,29.30549381,-94.78744253,"[2019, 10]",12,Y,186.6369934,2008.943877,0.571001517,3.873364557,12,Y,9.626635443,8.126635443,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,46460.11268,64401.36133,79794.09772,73598.71701,73851.41372,80238.11134,6386.697616
6524,9424,2971_29.2555023_-94.8676627_0_226.66.jpg,yh6NwvmKqbpY9uA10B3wDw,2.330600503,0.637642474,29.2555023,-94.8676627,29.25542342,-94.86781433,"[2020, 2]",10,Y,268.427002,2889.324203,2.330600503,9.64632711,10,Y,1.85367289,0.35367289,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49118.51145,68086.33948,84359.83205,77809.95817,78077.11393,84462.23581,6385.121887
220,5257,19855_29.2770141_-94.8373456_0_155.02.jpg,aFVOprKsDmwAKRHEx9Y9lw,0.583903459,0.359859757,29.2770141,-94.8373456,29.27691699,-94.83726689,"[2021, 4]",11,Y,186.5509949,2008.018197,0.583903459,3.915693763,11,Y,8.584306237,7.084306237,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,44345.6888,61470.4219,76162.62685,70249.20114,70490.39749,76874.15225,6383.754756
4029,8436,2693_29.2626042_-94.8462664_0_79.05.jpg,gEqHPE139HOQ5FthUz4VWA,1.791547608,0.816172856,29.26260425,-94.84626637,29.26263041,-94.84610554,"[2021, 4]",11,Y,248.5829926,2675.725063,1.791547608,7.877780866,11,Y,4.622219134,3.122219134,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,50749.57917,70347.26774,87161.15063,80393.77652,80669.80366,87049.66589,6379.862228
2157,4872,19126_29.2792605_-94.8404096_0_139.80.jpg,zMp-qb3VCDJYKL8lFZiCjQ,1.39208039,0.693381587,29.2792605,-94.8404096,29.27915793,-94.84031613,"[2020, 3]",11,Y,248.4880066,2674.702643,1.39208039,6.567192881,11,Y,5.932807119,4.432807119,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,53359.26212,73964.71774,91643.21674,84527.84564,84818.06685,91195.49127,6377.424421
3467,6576,22801_29.2524946_-94.8699865_0_256.49.jpg,XYWxSMc2kPdMuVNjiiLItA,1.684066708,0.768043236,29.25249463,-94.86998646,29.25247693,-94.87013786,"[2020, 2]",10,Y,248.447998,2674.271994,1.684066708,7.525153241,10,Y,3.974846759,2.474846759,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49423.58193,68509.21736,84883.78307,78293.22854,78562.04357,84938.44117,6376.397603
23,12724,8857_29.2865581_-94.802446_0_58.25.jpg,QR-_OOZfPIy42bmqsvFjtA,0.057626427,0.89468209,29.2865581,-94.802446,29.28666337,-94.80221938,"[2019, 10]",10,Y,186.3130035,2005.456479,0.057626427,2.189063081,10,Y,9.310936919,7.810936919,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,45746.34124,63411.95667,78568.21288,72468.01243,72716.82694,79092.43766,6375.610717
2876,8273,26110_29.1799992_-94.9777141_0_177.42.jpg,mGZGBRCj33ikd-x89R9aWQ,1.556171011,0.798173155,29.1799992,-94.9777141,29.17979658,-94.977727,"[2021, 3]",16,Y,186.2489929,2004.767475,1.556171011,7.105547936,16,Y,10.39445206,8.894452064,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,47902.82032,66401.19153,82271.91252,75884.14909,76144.69269,82518.11297,6373.420281
921,12402,8355_29.2889579_-94.808803_0_313.05.jpg,wrepkNHUABkj9Ifz9jneqA,1.057968092,0.752729636,29.2889579,-94.808803,29.28902581,-94.80886112,"[2019, 10]",10,Y,246.9960022,2658.642841,1.057968092,5.471023924,10,Y,6.028976076,4.528976076,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,53230.6346,73786.41882,91422.30214,84324.08331,84613.60491,90983.35103,6369.746112
1553,5818,20873_29.2711336_-94.8399028_0_95.11.jpg,4IlPGcTfYfBMvQ8_phXWSA,1.234558384,0.620719307,29.2711336,-94.8399028,29.27111089,-94.83972832,"[2017, 3]",11,Y,230.8329926,2484.665654,1.234558384,6.050388399,11,Y,6.449611601,4.949611601,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,50531.16395,70044.5083,86786.02787,80047.77908,80322.61825,86690.86792,6368.249671
4418,10782,5528_29.3033424_-94.783645_0_327.96.jpg,xYcI3ZiGv7CvfCo5rLBhng,1.865241572,0.645457404,29.3033424,-94.783645,29.30348946,-94.7837275,"[2017, 3]",12,Y,248.0590057,2670.084915,1.865241572,8.119558963,12,Y,5.380441037,3.880441037,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52160.99203,72303.71821,89585.2174,82629.63368,82913.33749,89279.75164,6366.414147
2838,1534,12960_29.2960046_-94.7944295_0_88.99.jpg,1JRKPJ1GEcbEegX_kk9oVA,1.54938223,0.77652593,29.2960046,-94.7944295,29.29598943,-94.79430746,"[2019, 10]",11,Y,247.9680023,2669.105363,1.54938223,7.083275033,11,Y,5.416724967,3.916724967,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52214.49037,72377.87572,89677.09949,82714.38185,82998.37664,89362.45519,6364.078553
3047,1543,12974_29.2959158_-94.7944017_0_44.97.jpg,pam7VK3wsDXTZTnU6ZXOEA,1.596253802,0.775334869,29.29591577,-94.79440174,29.29601437,-94.79429819,"[2019, 10]",11,Y,247.9680023,2669.105363,1.596253802,7.237053156,11,Y,5.262946844,3.762946844,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51906.65286,71951.16227,89148.39616,82226.72815,82509.04861,88873.12716,6364.078553
5686,3192,15879_29.2877_-94.8320996_0_195.45.jpg,o_iL_9EotN0qGzCXmUm8RQ,2.094557816,0.469418586,29.2877,-94.83209964,29.28757088,-94.83213721,"[2016, 6]",11,Y,247.8329926,2667.652131,2.094557816,8.871908845,11,Y,3.628091155,2.128091155,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48607.47185,67377.9545,83482.13414,77000.40657,77264.78277,83625.39631,6360.61354
6449,3180,15872_29.2877199_-94.8322008_0_171.35.jpg,eoFQLHcQpzfFMhqYyfkwrg,2.302599526,0.452558823,29.2877199,-94.8322008,29.28756928,-94.83214523,"[2016, 6]",11,Y,247.8329926,2667.652131,2.302599526,9.554460387,11,Y,2.945539613,1.445539613,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,47241.86429,65484.99771,81136.73684,74837.11082,75094.05948,81454.67302,6360.61354
5814,1001,12104_29.2999571_-94.7894327_0_268.02.jpg,GZ11y7JjXpFIYc4NAtM54Q,2.118968106,0.73019838,29.2999571,-94.7894327,29.29996266,-94.78960315,"[2017, 5]",11,Y,247.826004,2667.576906,2.118968106,8.951995098,11,Y,3.548004902,2.048004902,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48445.874,67153.95328,83204.59381,76744.41505,77007.91232,83368.3465,6360.434178
1162,10081,4424_29.3194864_-94.7725161_0_343.50.jpg,z-HVIKu5rfd367cQc0pibw,1.135543011,0.910640346,29.3194864,-94.7725161,29.31961927,-94.77258684,"[2021, 4]",11,Y,219.4369965,2362.000172,1.135543011,5.725534813,11,Y,6.774465187,5.274465187,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,48611.96863,67384.18777,83489.85724,77007.53003,77271.9307,83630.70636,6358.775666
3453,5278,19891_29.2768529_-94.8458687_0_156.21.jpg,331SGne44Qt5gpbFtg3YQw,1.681825433,0.631006906,29.2768529,-94.8458687,29.27667775,-94.84582043,"[2020, 3]",11,Y,247.5599976,2664.713637,1.681825433,7.517799977,11,Y,4.982200023,3.482200023,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51260.16363,71055.02182,88038.06685,81202.60713,81481.41133,87835.01848,6353.607145
865,6409,22489_29.2598784_-94.8466099_0_246.70.jpg,DPgl_DVRjZ4XQvCcMgXwAg,1.034735887,0.603398235,29.25987841,-94.84660989,29.25979058,-94.84676074,"[2020, 3]",12,Y,185.6699982,1998.535228,1.034735887,5.394802779,12,Y,8.105197221,6.605197221,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,43178.74775,59852.84958,74158.43438,68400.61836,68635.46772,74989.07486,6353.607145
1442,10443,505_29.2897265_-94.8238052_0_314.74.jpg,OSCkeG-5KPPy5PJp_GX4yQ,1.206219312,0.623328959,29.2897265,-94.8238052,29.28985442,-94.82403362,"[2020, 2]",11,Y,227.0189972,2443.612149,1.206219312,5.957412441,11,Y,6.542587559,5.042587559,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49866.64814,69123.38004,85644.73836,78995.10167,79266.32654,85619.64145,6353.314912
4985,722,11620_29.3034283_-94.8006877_0_268.31.jpg,WvVfIbKfaeWkBWL82uz1Cw,1.963368271,0.432867401,29.3034283,-94.8006877,29.30344647,-94.80085661,"[2021, 4]",12,Y,247.4120026,2663.120632,1.963368271,8.441496952,12,Y,5.058503048,3.558503048,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51381.92267,71223.79988,88247.185,81395.48891,81674.95536,88024.76423,6349.808866
3124,1292,12583_29.2974608_-94.7907107_0_328.50.jpg,WMhgyLu1gQ1IB-8TapGk4Q,1.612009491,0.738136922,29.2974608,-94.7907107,29.29765514,-94.79083871,"[2018, 8]",11,Y,247.2700043,2661.592175,1.612009491,7.288745049,11,Y,5.211254951,3.711254951,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51657.35526,71605.59478,88720.23368,81831.8091,82112.77363,88458.93812,6346.164491
2421,6119,21847_29.262825_-94.8395571_0_50.23.jpg,XYVq8JCFexV9aXjBd6c1LQ,1.448313336,0.74041607,29.262825,-94.8395571,29.26296433,-94.83939872,"[2021, 4]",10,Y,247.0480042,2659.202586,1.448313336,6.751684173,10,Y,4.748315827,3.248315827,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,50687.69037,70261.47968,87054.85815,80295.73681,80571.42733,86911.89421,6340.466876
2038,6125,21871_29.2624749_-94.8433396_0_349.44.jpg,JRDL_Dg7EpxVCUIG8iXAtA,1.360291395,0.726510814,29.2624749,-94.8433396,29.26261351,-94.84336509,"[2020, 3]",11,Y,245.4689941,2642.206263,1.360291395,6.462898278,11,Y,6.037101722,4.537101722,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52917.64805,73352.56797,90884.75547,83828.27289,84116.09216,90454.99032,6338.898159
1952,4152,17841_29.2824839_-94.8298617_0_49.51.jpg,dn78vXZ_9N7mupGJ7aaidQ,1.338476184,0.379257955,29.28248392,-94.82986168,29.28257601,-94.82973742,"[2016, 6]",11,Y,242.5870056,2611.184797,1.338476184,6.391326063,11,Y,6.108673937,4.608673937,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52436.52173,72685.64772,90058.43287,83066.10771,83351.31013,89690.05272,6338.742593
6221,3791,16905_29.2853123_-94.8248978_0_197.54.jpg,TuRoYc_x37iKkmUAVLKBuQ,2.225268282,0.73684732,29.28531234,-94.82489778,29.28518953,-94.82491447,"[2017, 9]",11,Y,246.8130035,2656.673059,2.225268282,9.300748957,11,Y,3.199251043,1.699251043,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,47552.95546,65916.22126,81671.02825,75329.91873,75588.55942,81922.99502,6334.435603
4562,387,10875_29.3073177_-94.7820126_0_268.61.jpg,ARLnRzjR5nB_ZTOvHIbZSg,1.891507011,0.602164371,29.30731767,-94.78201263,29.30730772,-94.78225788,"[2019, 10]",12,Y,246.7559967,2656.059443,1.891507011,8.205731663,12,Y,5.294268337,3.794268337,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51715.33993,71685.97107,88819.82092,81923.66417,82204.94408,88537.91661,6332.972528
