,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,0.256,ORIGIN,-0.079
8241,5993,21632_29.2652297_-94.8689182_0_79.59.jpg,WUfcQCSzYAm2d9CyZo11vw,3.684267013,0.640762051,29.2652297,-94.8689182,29.26531088,-94.86868159,"[2021, 3]",12,N,289.9410095,3120.899052,3.684267013,12.3434902,12,Y,1.1565098,-0.3434902,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,53055.28389,73543.35389,91121.14162,84046.30553,84334.8734,84334.8734,84334.8734
596,5043,1948_29.2772797_-94.8316749_0_7.11.jpg,DmJeet7QNscRlWghPPSQUQ,0.904289451,0.434863209,29.2772797,-94.8316749,29.2774401,-94.83169336,"[2021, 4]",11,Y,213.9170074,2302.583504,0.904289451,3.222828907,11,Y,9.277171093,7.777171093,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52446.33843,72699.25528,90075.29282,83081.65861,83366.91442,84303.90216,84593.05073
8665,9225,28962_29.1235618_-95.0672952_0_111.27.jpg,Ei_AbT6OUpvo6s--uEuElg,4.626418747,0.639511692,29.1235618,-95.0672952,29.1234028,-95.06693221,"[2021, 4]",17,Y,273.7260132,2946.362285,4.626418747,15.4345392,17,Y,3.065460804,1.565460804,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52442.58399,72694.051,90068.84465,83075.71109,83360.94649,84260.16643,84537.66008
346,11179,6076_29.2996499_-94.7859784_0_14.48.jpg,UIUFBKH1RIL4FsF9HUbO_w,0.72437999,0.782962093,29.2996499,-94.7859784,29.29983822,-94.78596699,"[2019, 8]",11,Y,208.3339996,2242.488508,0.72437999,2.63257477,11,Y,9.86742523,8.36742523,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52401.18255,72636.6618,89997.7387,83010.12596,83295.13617,84207.66952,84489.27161
2235,7825,2523_29.2669765_-94.8468351_0_64.29.jpg,M7ldtZoNjVrh2m3psRqgjA,1.407363238,0.763128347,29.2669765,-94.8468351,29.26702297,-94.84667807,"[2021, 4]",11,Y,229.7660065,2473.180711,1.407363238,4.873333458,11,Y,7.626666542,6.126666542,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52480.89445,72747.15561,90134.64193,83136.39973,83421.8435,84176.65,84409.57857
1972,6418,22502_29.2597355_-94.8455283_0_260.37.jpg,52ca6JAQqxusH1uh-axARw,1.344992943,0.753417602,29.25973549,-94.84552831,29.2596844,-94.84570131,"[2020, 3]",10,Y,236.2689972,2543.17832,1.344992943,4.668706506,10,Y,6.831293494,5.331293494,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52449.1621,72703.16934,90080.14239,83086.13165,83371.40282,84147.57237,84387.09344
879,6090,21801_29.2630272_-94.8483608_0_304.99.jpg,#NAME?,1.041437552,0.826055901,29.2630272,-94.8483608,29.26312962,-94.84851941,"[2021, 4]",11,Y,217.4519958,2340.633803,1.041437552,3.672789869,11,Y,8.827210131,7.327210131,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52259.82275,72440.71386,89754.95674,82786.1941,83070.43545,84022.90696,84316.83371
845,182,10338_29.3189334_-94.7504302_0_56.16.jpg,PUM2QDlWZc_9-VKeqbioKQ,1.02364201,0.463794183,29.3189334,-94.7504302,29.31901078,-94.75029128,"[2021, 3]",17,Y,171.4380035,1845.343312,1.02364201,3.614405545,17,Y,14.88559446,13.38559446,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52381.16688,72608.91678,89963.36228,82978.41859,83263.31994,84014.24344,84245.97374
3195,3186,15884_29.2877766_-94.8024901_0_343.66.jpg,imkELIZ_oKcFrm6hGpxaUA,1.626038116,0.851300363,29.28777658,-94.80249006,29.28788339,-94.80252162,"[2021, 4]",10,Y,243.9730072,2626.103594,1.626038116,5.590770722,10,Y,5.909229278,4.409229278,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52343.29188,72556.41581,89898.31291,82918.41979,83203.11514,84004.5932,84251.92432
1601,6952,2380_29.2702523_-94.8406295_0_334.22.jpg,9KWfkJor6sdA8USv-B8E3Q,1.247998616,0.642180569,29.27025229,-94.84062952,29.27041335,-94.84072718,"[2020, 3]",11,Y,224.095993,2412.149193,1.247998616,4.350483648,11,Y,8.149516352,6.649516352,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52221.86341,72388.09596,89689.76249,82726.06167,83010.09656,83991.66975,84294.5771
513,8912,28192_29.1375219_-95.0460304_0_353.54.jpg,opOvCVGbH2y_WIp4--JjyQ,0.84633594,0.840959352,29.1375219,-95.0460304,29.13793994,-95.04597705,"[2021, 3]",15,Y,180.3110046,1940.851501,0.84633594,3.032692717,15,Y,13.46730728,11.96730728,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52339.53881,72551.21343,89891.8671,82912.47445,83197.14938,83986.93792,84230.66173
710,268,10632_29.3106752_-94.7848291_0_193.45.jpg,PHlHFIPby2yo93RTLe6jcA,0.969791797,0.341522032,29.3106752,-94.7848291,29.31049414,-94.78484716,"[2021, 4]",12,Y,206.0579987,2217.989839,0.969791797,3.437731617,12,Y,10.06226838,8.562268383,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52260.87185,72442.16808,89756.75853,82787.85599,83072.10306,83974.66719,84253.19284
6240,3702,16768_29.2853123_-94.8248978_0_317.54.jpg,TuRoYc_x37iKkmUAVLKBuQ,2.231884817,0.73684732,29.2853123,-94.8248978,29.28541043,-94.82499395,"[2017, 9]",11,Y,253.1309967,2724.679372,2.231884817,7.578456749,11,Y,4.921543251,3.421543251,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52289.7508,72482.19906,89806.35742,82833.60392,83118.00806,83949.57111,84206.18627
257,5340,1999_29.2768398_-94.8260573_0_342.19.jpg,NZQ2v1U31ZQG5FyViMxmbA,0.643969339,0.413918957,29.2768398,-94.8260573,29.27711226,-94.82617749,"[2021, 4]",11,Y,205.3209991,2210.056841,0.643969339,2.368760299,11,Y,10.1312397,8.631239701,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52226.38296,72394.36081,89697.52472,82733.22122,83017.2807,83916.61667,84194.14613
1825,8301,26205_29.1734164_-94.9867876_0_337.55.jpg,pRNSuLLxNMtK_seLFG3oWA,1.303750745,0.574302772,29.1734164,-94.9867876,29.17356807,-94.98690946,"[2021, 4]",16,Y,183.5090027,1975.274466,1.303750745,4.533397457,16,Y,12.96660254,11.46660254,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52278.8042,72467.02526,89787.5569,82816.26311,83100.60771,83904.40395,84152.45044
1847,6029,21705_29.2648997_-94.840676_0_259.10.jpg,nbQ0N5z4yQlorxyE4O6EyQ,1.3101339,0.682963037,29.2648997,-94.840676,29.26487803,-94.8408185,"[2021, 4]",10,Y,234.548996,2524.664381,1.3101339,4.554339567,10,Y,6.945660433,5.445660433,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52283.89403,72474.08062,89796.29857,82824.32606,83108.69834,83879.21749,84116.99488
3511,1810,13395_29.2941681_-94.8105214_0_312.71.jpg,EJd1M9tMgqK47y1BzVayOA,1.691593332,0.687249621,29.2941681,-94.8105214,29.29429022,-94.81067001,"[2017, 5]",11,Y,236.6340027,2547.107207,1.691593332,5.80584689,11,Y,6.69415311,5.19415311,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52268.20592,72452.33431,89769.35463,82799.4741,83083.76105,83861.12968,84101.02078
6698,9420,2961_29.2554227_-94.8676154_0_62.75.jpg,Hpz4JZlNMCFjBY7ZzS-z9g,2.39683954,0.646007807,29.2554227,-94.8676154,29.25549424,-94.86749786,"[2020, 2]",10,Y,268.8450012,2893.823509,2.39683954,8.119646785,10,Y,3.380353215,1.880353215,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52190.87359,72345.13897,89636.53825,82676.96987,82960.83621,83844.02149,84116.56695
2155,8330,2642_29.2633249_-94.8398269_0_80.21.jpg,39NcnYKN6rsNV26VpqahRg,1.390807464,0.701955482,29.2633249,-94.8398269,29.26337436,-94.83966974,"[2021, 4]",10,Y,236.6880035,2547.688466,1.390807464,4.819016614,10,Y,6.680983386,5.180983386,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52254.96947,72433.9864,89746.62134,82778.50587,83062.72083,83840.26685,84080.2127
923,6082,21796_29.2630672_-94.8482646_0_303.72.jpg,JzKvuZVOgNBeXjScZy2tvg,1.058491432,0.830575756,29.2630672,-94.8482646,29.26314246,-94.84849293,"[2021, 4]",11,Y,217.4519958,2340.633803,1.058491432,3.728740919,11,Y,8.771259081,7.271259081,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52128.86184,72259.18048,89530.03459,82578.73537,82862.26443,83814.73594,84108.66269
258,7888,25343_29.1928017_-94.9839936_0_323.49.jpg,v0rt5DQc6-RD8xYOI0h8bg,0.644465172,0.26106279,29.1928017,-94.9839936,29.19294867,-94.98418283,"[2016, 9]",11,Y,205.0240021,2206.859992,0.644465172,2.370387047,11,Y,10.12961295,8.629612953,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52147.24745,72284.66596,89561.61143,82607.86052,82891.48958,83789.52466,84066.65267
1881,8298,26200_29.1735259_-94.9866214_0_293.55.jpg,w1xjhQGAvn6xoeyI7TZk5A,1.318970579,0.566022609,29.1735259,-94.9866214,29.17357136,-94.98691251,"[2021, 4]",16,Y,183.5090027,1975.274466,1.318970579,4.583331296,16,Y,12.9166687,11.4166687,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52180.17116,72330.30364,89618.15709,82660.01586,82943.82399,83747.62023,83995.66672
1470,83,10179_29.3219259_-94.7736117_0_101.83.jpg,h9IrXDKPOf8PvdfRcHx7zg,1.213936656,0.861838601,29.3219259,-94.7736117,29.32190245,-94.77343297,"[2019, 10]",11,Y,222.223999,2391.999218,1.213936656,4.238731811,11,Y,8.261268189,6.761268189,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52052.93648,72153.93545,89399.63467,82458.45998,82741.57608,83714.94966,84015.32666
2665,6096,21816_29.2630297_-94.8419496_0_305.43.jpg,L4_oBZG65V9OtlRcPk4Jvg,1.506041236,0.648437746,29.2630297,-94.8419496,29.26310637,-94.84215951,"[2020, 3]",11,Y,230.9259949,2485.666722,1.506041236,5.197080171,11,Y,7.302919829,5.802919829,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52142.30279,72277.81185,89553.11909,82600.02755,82883.62971,83642.2469,83876.35143
1162,10081,4424_29.3194864_-94.7725161_0_343.50.jpg,z-HVIKu5rfd367cQc0pibw,1.135543011,0.910640346,29.3194864,-94.7725161,29.31961927,-94.77258684,"[2021, 4]",11,Y,219.4369965,2362.000172,1.135543011,3.981534813,11,Y,8.518465187,7.018465187,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52007.61857,72091.11736,89321.80227,82386.67065,82669.54026,83630.70636,83927.31621
5686,3192,15879_29.2877_-94.8320996_0_195.45.jpg,o_iL_9EotN0qGzCXmUm8RQ,2.094557816,0.469418586,29.2877,-94.83209964,29.28757088,-94.83213721,"[2016, 6]",11,Y,247.8329926,2667.652131,2.094557816,7.127908845,11,Y,5.372091155,3.872091155,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52096.76084,72214.68321,89474.90192,82527.88332,82811.23778,83625.39631,83876.64055
2445,12322,811_29.2873877_-94.8200051_0_311.72.jpg,ANkR_GX625NkH0JqgvmKLA,1.45370105,0.759783711,29.2873877,-94.8200051,29.28755038,-94.82014124,"[2019, 10]",11,Y,229.4810028,2470.112956,1.45370105,5.0253604,11,Y,7.4746396,5.9746396,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52134.15392,72266.51617,89539.12361,82587.1187,82870.67654,83624.54678,83857.18642
8232,6981,23864_29.2153468_-94.9154086_0_327.73.jpg,GbAbTlCCcQ9M1Uq_Ebly6A,3.673353599,0.526826019,29.2153468,-94.9154086,29.21549697,-94.91552134,"[2020, 2]",18,Y,231.4049988,2490.822677,3.673353599,12.30768504,18,Y,7.192314964,5.692314964,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52043.8374,72141.32262,89384.00723,82444.04588,82727.11249,83487.30326,83721.89339
249,5437,2015_29.2769194_-94.8360279_0_214.18.jpg,QW3FcgqscyoIN-my7CvS1Q,0.633479852,0.344678888,29.2769194,-94.8360279,29.27681479,-94.83613265,"[2017, 5]",11,Y,203.973999,2195.557853,0.633479852,2.334345971,11,Y,10.16565403,8.665654029,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51959.31254,72024.15725,89238.83786,82310.14776,82592.75464,83486.19055,83761.89929
661,1935,13609_29.2936845_-94.7999068_0_58.00.jpg,dPaWV2v5_xhpVmqRxqCjRg,0.93873306,0.749669285,29.2936845,-94.7999068,29.29377812,-94.79969553,"[2021, 4]",11,Y,212.7969971,2290.527814,0.93873306,3.335832874,11,Y,9.164167126,7.664167126,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51912.90518,71959.82901,89159.13436,82236.63261,82518.98708,83451.06901,83738.70367
743,11988,715_29.2881607_-94.8253604_0_58.18.jpg,7Tqvm06yJu3XHlSW0pMNlQ,0.983139208,0.695205458,29.2881607,-94.8253604,29.28820412,-94.82524672,"[2021, 4]",11,Y,214.1490021,2305.080674,0.983139208,3.481522336,11,Y,9.018477664,7.518477664,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51906.90768,71951.5155,89148.83381,82227.13182,82509.45366,83447.45758,83736.91972
1046,12304,8071_29.2909436_-94.811983_0_178.91.jpg,piubqZRsmGHKyd3tbVvLCw,1.101981595,0.736508969,29.2909436,-94.811983,29.29078427,-94.81193877,"[2020, 2]",11,Y,217.8639984,2345.068562,1.101981595,3.87142518,11,Y,8.62857482,7.12857482,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51893.02513,71932.27199,89124.99086,82205.14009,82487.38643,83441.66257,83736.14622
239,3011,1555_29.2808223_-94.8265847_0_101.97.jpg,dCO8dALWwFDAeXtK3zs9GA,0.617760135,0.388172491,29.2808223,-94.8265847,29.28079756,-94.82637816,"[2020, 3]",11,Y,203.3840027,2189.207185,0.617760135,2.282772096,11,Y,10.2172279,8.717227904,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51921.92574,71972.333,89174.62695,82250.92233,82533.32586,83424.1775,83699.08875
3642,359,10815_29.30798_-94.783994_0_147.89.jpg,yHWZbeKPyPQptajo96fOdQ,1.712977071,0.593870509,29.30798,-94.783994,29.30786041,-94.78394315,"[2019, 9]",12,Y,227.7100067,2451.050113,1.712977071,5.876003514,12,Y,7.623996486,6.123996486,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,52006.37484,72089.39335,89319.6662,82384.70042,82667.56327,83415.61559,83646.45987
2196,5904,21052_29.2703577_-94.836778_0_154.61.jpg,IJOOeG63x36i7ywY-UDwdA,1.398987196,0.67939712,29.27035765,-94.836778,29.27022396,-94.83671141,"[2021, 4]",10,Y,235.6640015,2536.666201,1.398987196,4.845853005,10,Y,6.654146995,5.154146995,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51977.83844,72049.8372,89270.65564,82339.49514,82622.20278,83396.38485,83635.2926
4966,3452,16323_29.2868469_-94.8203709_0_193.97.jpg,Cd4IY0UlI5924bs0PUq6DQ,1.959868462,0.74782899,29.2868469,-94.8203709,29.28669721,-94.8204316,"[2017, 9]",11,Y,243.0480042,2616.146944,1.959868462,6.686014639,11,Y,5.813985361,4.313985361,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51957.95766,72022.27917,89236.51089,82308.00146,82590.60097,83389.0403,83635.43368
2775,6107,21839_29.2629542_-94.8421426_0_321.09.jpg,pGuWe3gbCzC7bIWhstlO7Q,1.533360265,0.702602245,29.2629542,-94.8421426,29.2630784,-94.84222472,"[2020, 3]",11,Y,230.9259949,2485.666722,1.533360265,5.286709531,11,Y,7.213290469,5.713290469,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51975.21125,72046.19548,89266.1435,82335.33334,82618.02669,83376.64388,83610.74841
5814,1001,12104_29.2999571_-94.7894327_0_268.02.jpg,GZ11y7JjXpFIYc4NAtM54Q,2.118968106,0.73019838,29.2999571,-94.7894327,29.29996266,-94.78960315,"[2017, 5]",11,Y,247.826004,2667.576906,2.118968106,7.207995098,11,Y,5.292004902,3.792004902,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51935.06459,71990.5456,89197.1926,82271.73593,82554.21093,83368.3465,83619.58365
1454,10504,5151_29.3056455_-94.7777211_0_103.01.jpg,17DGTbmr8mHsf5I8g6fNtA,1.208276434,0.636702997,29.3056455,-94.7777211,29.3056424,-94.77756977,"[2021, 4]",11,Y,221.1100006,2380.008239,1.208276434,4.220161529,11,Y,8.279838471,6.779838471,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51836.195,71853.49608,89027.38652,82115.11395,82397.05119,83365.54529,83664.41652
2473,1105,12268_29.2989348_-94.7804082_0_43.65.jpg,BWlcwLL30xZAtGO8303Xyg,1.459580227,0.771653408,29.2989348,-94.7804082,29.29900808,-94.78028728,"[2021, 3]",11,Y,228.9170074,2464.042161,1.459580227,5.044649039,11,Y,7.455350961,5.955350961,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51970.37781,72039.49553,89257.84218,82327.67655,82610.34361,83362.36106,83594.42895
7581,11674,6739_29.2967804_-94.7824852_0_13.73.jpg,vzpkl8QXqm9DLtrdlFCYOw,3.060025496,0.826747356,29.2967804,-94.7824852,29.29693065,-94.78244027,"[2016, 10]",11,Y,280.8590088,3023.14121,3.060025496,10.29545373,11,Y,2.204546273,0.704546273,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51857.17978,71882.58444,89063.42736,82148.3565,82430.40788,83353.0605,83637.78533
847,269,10636_29.3106224_-94.7850339_0_133.72.jpg,sWzjfpnmi8OHkJglZu4KLQ,1.024194778,0.330382523,29.3106224,-94.7850339,29.31047628,-94.78482665,"[2021, 4]",12,Y,206.0579987,2217.989839,1.024194778,3.616219088,12,Y,9.883780912,8.383780912,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51864.98845,71893.40855,89076.83856,82160.72643,82442.82028,83345.38442,83623.91007
439,1987,13692_29.2924192_-94.8640181_0_320.23.jpg,dqE4_64Nwb00bgAidlRSDg,0.799840819,0.546407564,29.2924192,-94.8640181,29.29254914,-94.86413623,"[2019, 8]",13,Y,191.8999939,2065.594343,0.799840819,2.880149669,13,Y,11.61985033,10.11985033,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51887.42075,71924.5034,89115.36548,82196.26204,82478.4779,83319.02791,83578.41638
1630,134,10255_29.3205458_-94.7712334_0_146.85.jpg,CQPq2W7Cin8kPzbu9fExTQ,1.254745478,0.794943774,29.3205458,-94.7712334,29.32040164,-94.7711513,"[2019, 10]",11,Y,222.503006,2395.002424,1.254745478,4.372619022,11,Y,8.127380978,6.627380978,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51797.62987,71800.03846,88961.15186,82054.02188,82335.74937,83310.34504,83611.09917
1058,5907,21056_29.2699514_-94.8359717_0_334.66.jpg,Jh32tVXlxxTKBcfBxG5MMA,1.105432105,0.741923682,29.2699514,-94.8359717,29.27009429,-94.83602954,"[2021, 4]",10,Y,227.4389954,2448.132972,1.105432105,3.882745751,10,Y,7.617254249,6.117254249,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51932.09952,71986.43553,89192.10017,82267.03889,82549.49776,83296.65978,83527.2293
2015,8692,2762_29.261278_-94.8454071_0_231.15.jpg,3ltjrfOZ_tq4_VNgANiGdQ,1.355360179,0.689690533,29.261278,-94.8454071,29.26113549,-94.84554686,"[2021, 4]",10,Y,234.0390015,2519.174846,1.355360179,4.702719747,10,Y,6.797280253,5.297280253,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51889.86319,71927.88903,89119.56032,82200.13118,82482.36032,83251.20408,83488.46446
7390,10232,4749_29.3079541_-94.7840924_0_342.89.jpg,I_RdhHDEIy1fbfxRtTrhKg,2.851618866,0.597384903,29.3079541,-94.7840924,29.30811878,-94.7841561,"[2019, 9]",12,Y,261.2990112,2812.599149,2.851618866,9.611704941,12,Y,3.888295059,2.388295059,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51797.44833,71799.78682,88960.84007,82053.73431,82335.46081,83193.85669,83458.75229
88,10646,5351_29.3044523_-94.7866149_0_357.96.jpg,42_5U8x-ufMxKKJnRiFwXw,0.340630179,0.529087727,29.3044523,-94.7866149,29.3047527,-94.7865525,"[2019, 10]",12,Y,187.845993,2021.957441,0.340630179,1.373553081,12,Y,12.12644692,10.62644692,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51815.58503,71824.92727,88991.9894,82082.46514,82364.29029,83187.08317,83440.99192
5162,2524,14687_29.2913163_-94.7997904_0_148.66.jpg,dO77ppj4A-r9397B7VJQIw,1.990868956,0.821038984,29.2913163,-94.7997904,29.29111348,-94.79957688,"[2019, 10]",10,Y,252.7539978,2720.62139,1.990868956,6.787722297,10,Y,4.712277703,3.212277703,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51784.87418,71782.35698,88939.24427,82033.81525,82315.47336,83145.79793,83402.03091
5241,12530,860_29.2870982_-94.827511_0_105.18.jpg,Cz6yoxNXSSIiaasohTcR7g,2.002412454,0.62073246,29.2870982,-94.827511,29.28703695,-94.82729845,"[2017, 9]",11,Y,243.6089935,2622.185383,2.002412454,6.825594665,11,Y,5.674405335,4.174405335,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51803.38048,71808.00975,88971.02838,82063.13158,82344.89034,83145.17258,83392.13467
1309,10110,4479_29.3171014_-94.7721383_0_73.55.jpg,VXqrtE0_0C6mW7u3A8YxVQ,1.176782691,0.984274078,29.3171014,-94.7721383,29.31714878,-94.77197883,"[2019, 10]",11,Y,219.4360046,2361.989496,1.176782691,4.1168356,11,Y,8.3831644,6.8831644,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51687.80444,71647.80236,88772.5294,81880.04447,82161.17462,83122.33637,83418.94488
2623,9365,29323_29.3195168_-94.7487449_0_157.33.jpg,k2QH5Gn22OWL8KcEWdV_Ag,1.495928374,0.531850204,29.3195168,-94.7487449,29.3193896,-94.74865088,"[2021, 3]",17,Y,179.2050018,1928.946586,1.495928374,5.16390149,17,Y,13.33609851,11.83609851,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51765.40059,71755.36339,88905.79887,82002.96662,82284.51881,83069.4629,83311.69174
1165,4127,17787_29.2821313_-94.8713482_0_97.04.jpg,jaJFmW3DjugHH6wJMMu6LA,1.136474121,0.335186263,29.2821313,-94.8713482,29.28211643,-94.87120596,"[2020, 2]",14,Y,192.0859985,2067.59648,1.136474121,3.984589636,14,Y,11.51541036,10.01541036,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51721.77442,71694.89033,88830.87199,81933.85722,82215.17213,83056.53686,83316.17676
3170,10408,5002_29.3064923_-94.7788987_0_313.40.jpg,J5_u4U6oyu8qbFYATDFV0w,1.62216949,0.646222329,29.3064923,-94.7788987,29.30661138,-94.77902463,"[2019, 9]",12,Y,223.8970032,2410.007285,1.62216949,5.578078379,12,Y,7.921921621,6.421921621,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51674.02953,71628.70806,88748.87133,81858.22326,82139.27848,83045.20312,83347.8415
6862,2032,13756_29.2935356_-94.7860288_0_284.97.jpg,4fnY_tstechTHDnsheI0ig,2.478568683,0.905368066,29.29353555,-94.78602882,29.29354453,-94.78616084,"[2016, 11]",11,Y,258.4190063,2781.599034,2.478568683,8.387787018,11,Y,4.112212982,2.612212982,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51693.68077,71655.94791,88782.62184,81889.35331,82170.51542,83019.45017,83281.42612
2958,5783,2079_29.2757837_-94.8436236_0_67.06.jpg,wWY_Rtp2QUpRZSY6QMSbhA,1.573913211,0.813176745,29.2757837,-94.8436236,29.27587503,-94.84347647,"[2020, 3]",11,Y,231.0189972,2486.66779,1.573913211,5.419757254,11,Y,7.080242746,5.580242746,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51748.00944,71731.25639,88875.93,81975.41683,82256.87443,83015.79714,83249.99595
805,5137,19663_29.2773522_-94.8314841_0_306.63.jpg,K-q95rzopzlTceEy0iW8rQ,1.01183694,0.380946624,29.2773522,-94.8314841,29.27745191,-94.83172113,"[2021, 4]",11,Y,213.9170074,2302.583504,1.01183694,3.575675,11,Y,8.924325,7.424325,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51633.88084,71573.05537,88679.91694,81794.62263,82075.45949,83012.44723,83301.59579
1837,7865,2529_29.2668983_-94.8417338_0_66.71.jpg,dbAMbUKaxHIWxX-xZDr_-A,1.307511845,0.668133637,29.2668983,-94.8417338,29.26695813,-94.84158509,"[2021, 4]",10,Y,231.9940033,2497.162669,1.307511845,4.545737024,10,Y,6.954262976,5.454262976,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51730.46578,71706.93799,88845.7992,81947.62545,82228.98763,82991.11335,83226.30058
5023,12671,8788_29.2871091_-94.7988408_0_289.87.jpg,75itciQZk9KdpqBYZhMHyg,1.96953346,0.92584029,29.2871091,-94.7988408,29.28716828,-94.79895187,"[2019, 10]",10,Y,251.5930023,2708.124538,1.96953346,6.71772395,10,Y,4.78227605,3.28227605,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51689.17968,71649.70866,88774.89134,81882.22302,82163.36065,82989.87122,83244.92722
5035,3348,16140_29.2871955_-94.7988556_0_242.01.jpg,Gggsb0mYzpDCMRB0k-zFXg,1.971583759,0.917393858,29.2871955,-94.7988556,29.28713141,-94.79896811,"[2019, 10]",10,Y,251.5930023,2708.124538,1.971583759,6.724450653,10,Y,4.775549347,3.275549347,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51675.51712,71630.7701,88751.42622,81860.57979,82141.6431,82968.15368,83223.20968
5036,3359,16168_29.2871955_-94.7988556_0_242.01.jpg,Gggsb0mYzpDCMRB0k-zFXg,1.971583759,0.917393858,29.28719547,-94.79885565,29.28713138,-94.79896816,"[2019, 10]",10,Y,251.5930023,2708.124538,1.971583759,6.724450653,10,Y,4.775549347,3.275549347,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,51675.51712,71630.7701,88751.42622,81860.57979,82141.6431,82968.15368,83223.20968
